SIT || Field1
I was sleeping nicely until in the middle of the night when I became  awake because a friend called me for some (in my opinion)  nonsens reason. || anger
My boyfriend with whom I had a longlasting relationship, fell in  love with another girl, then he asked me something which implied  that he loved that girl more than he loved me. || sadness
On school, during a fancy fair, there was a stand of amnesty  international. There I read (for the first time) a description of  the tortures of a woman, what they did to her. || disgust
A friend catched me while masturbating. I am not fully sure  whether she saw it or not. || shame
When I was 4-5 years old my mother gave me some parts of a  chocolate bar and ordered me to bring it to my father working  outside. On my way I could not resist the temptation and ate it  myself. || guilt
When I had to undergo the final examination of secondary school,  I lived together with a girlfriend. We both were afraid to fail,  but it appeard that we both had passed. || joy
When I had left my home, my father, under false pretences, got me  in his car and drove home where we were all alone. He was seethed  with rage because I withrew from his authority. He hit me, kicked  me and threatened me. || fear
When my father took away my cherised diaries to burn them (I was  also very sad) \Oh, how I hated him\"." || anger
I felt very sad when I left home because I could not stand it any  longer. I do not regret it, but I missed my little sister very  much (and she missed me). These feelings wear off over time. || sadness
stories about my friend and that girlfriend." || disgust
When my mother found a leaf of my diary where I had written about  my mother's lack of education, especially her poor arithmetical  insight. || shame
Very often I take care for my little sister and oversee her  duties. Most of the time everything went fine, but sometimes she  absolutely didn't want to obey; then I hit her (we frequently  were hit by our father). || guilt
Passing my driver's examination (after two failures). || joy
When I was six years old we were on holiday in France. There was  very heavy weather then. || fear
A quarrel with my mother because I thought she said very  unreasonable things about me, that hit me strongly. || anger
The disease and subsequent death of a close acquaintance. Sadness  was accompanied with feelings of powerlessness (I also  experienced sadness in the situation described under guilt). || sadness
When I take a look into a slaughter-house and when listening to  stories about torturing people or animals. || disgust
Making bloopers: e.g. telling something negative about a certain  person, while that person is standing besides you and hears  everything. || shame
I wanted to finish a relationship after 3 months. Unfortunately  my friend had a different opinion. I could not answer his  feelings this made him unhappy, and me feel guilty. || guilt
When a friend of mine had her period, while thinking she was  pregnant. || joy
Fear to come and live in Nijmegen. || fear
When the coach of our team degraded me to the second team. || anger
When a friend died. || sadness
When I saw a documentary film about World War II (about Hitler  and his adepts). || disgust
person was also present." || shame
When I realised that I had rejected a boy, who was fallen in love  with me, rather bluntly four times. || guilt
Spending the nitht with close friends, after being away (out of  Nijmegen) for a while. || joy
Just before I started my study I had to move, I was very afraid  to be left alone and that I could not manage it. || fear
When anybody wants to make me feel guilty. For example: I should  do something for my mother, but things didn't go as she hoped.  Then she threatens: I'll do it myself. || anger
When a close friend took leave of me, because she went to Israel  for one year. || sadness
I wanted to take something from under my bed. While doing this I  felt a dead bird laying under my bed. || disgust
I stayed at home for a period because I felt depressive and I  neglected my study when people adked me, I told them that I had  freeterm and studied hard. I felt ashamed for my behavior and  lies. || shame
enormously." || guilt
A fellow player, quite unexpectedly, scores a goal, which means a  draw. || joy
In college, I started a discussion with the teacher referring to  a question I posed. I felt very unsure and I was afraid to fail. || fear
While playing indoor-hockey, there always is an older man who  frequently and intentionally plays the ball out of the field. In  my opinion this is very childish, because we play for fun only. || anger
I was together with my family one night, a few days after my  father had died, during that conversation I expressed my  displeasure because nobody understands me. || sadness
Salo, a movie film by Pasolini. People were misused and tortured  for the fun of a few elder Italian authorities, during World War  II. || disgust
I was jerking me off in my bedroom, when suddenly, my mother came  in. She looked at me and immediately left the room. || shame
My girlfriend and I agreed to go to the cinema. However I  completely forgot our appointment. I remembered it two hours  too late when I went to visit her. || guilt
When my boyfriend once again told me that he loved me after a  period in which he felt very depressive. || joy
I was walking alone in the street late at night (2.30 am). It was  very quiet. Then a man approached me and said \Hello\"." || fear
When, late at night, I discovered that they had stolen my bike. || anger
When a friend, after being free of drugs for half a year, started  using them again.  || sadness
In a disco, there was a dirty little chap who punched my bottom. || disgust
When a friend who comes visiting me unexpectedly asks for coffee  and I refuse to give him this. || anger
Watching a football game. This remindes me of the time when my  father was still alive and when we watched football games on TV  together. || sadness
Seeing someone who has bleeding nose. || disgust
Asking someone to give me back the money I once lend him because  I needed it myself. || shame
When I tell someone no. In other words when I refuse to do  something although I could have helped him. || guilt
When I got a good grade for an exam in statistics. || joy
One night at three o'clock I was followed by a cardriver, who  tried to molest me. || fear
My father promised me a bicycle for my birthday. Just before my  birthday he forgot he promised this to me. || anger
A younger brother of a good friend of mine died (asthma). || sadness
I read a book about torture. The book described exactly how the  torturing was done. || disgust
I made a joke about the rat of a boy. I compared his rat with a  sausage. I told the boy he had a delicious sausage. || shame
After a courtship of three months I made an end to it. The boy  was very sad about this. || guilt
I had a very pleasant conversation with one of my friends. || joy
I had a dream about my fiancTe leaving me and making an end to  our relation. || fear
My bicycle was demolished. || anger
During the funeral of my grandmother, when I saw my mother and  other family members crying. || sadness
A fellow student who seemed very nice later on proved to be a  slimy fellow towards a professor. || disgust
My father was very angry with another man in the presence of my  friends. || shame
I once drank too much alcohol and became very ill. This was in the  presence of my friends. || guilt
This week I was phoned by an old friend with whom I lost contact  a few years ago. || joy
I was raped by a friend. || fear
Last year I had a friend visiting me for several days. The only  thing he did was sleeping, drinking, taking pills and thinking  only about himself. || anger
My girlfriend does practice and therefore leaves me alone at  night and in the weekend. In addition, she is very busy doing  several things. So we don't see each other often. || anger
My father suddenly fell ill. He stayed for 3 months in the  hospital: the last month on intensive care of the Academic  Hospital, then he died. || sadness
Bisshop Ter Schure intoduced himself on TV to the Dutch Nation.  He spoke as if he was God himself, and didn't discuss the way he  had achieved this position. || disgust
After having failed my driving test. || shame
When I see that my mother forces my little brother (15 years) to  work very hard for school. I don't agree that she constantly puts  him to work, but I don't tell it to her, so nothing changes. || guilt
I thought that someone was angry with me but, by hindsight, that  didn't appear to be the case, he even liked me. || joy
wildest scenes." || fear
My parents thought that I didn't do my best to pass the final  examination (secondary school). When I achieved a good grade they  said nothing, but if I had had a bad grade they would have become  very angry. || anger
When I caused much pain and sorrow to my boyfriend by finishing  our relationship. || sadness
When I read about or think about environmental pollution, the  armor race, starvation, etc. Then one realizes that mankind is  bad, most important is power and money, at the cost of nature and  mankind. || disgust
When I imitated a teacher behind his back - walking very silly. || shame
I told someone that I still had a relationship with a boy  although it was finished already 3 months before. That person  seriously discussed several things relating that issue. Then I  felt very miserable because I had told lies. || guilt
A meeting and a conversation with a woman (somewhat elder than  me) who considers me as her child (she also has one child of her  own). Last two years I lived with her (no relationship). || joy
As a child I suffered of nightmares. Even since than, I have  never been so anxious and fearful. || fear
When talking with my sister, she often ventilates prejudices,  which my father also adheres. || anger
I was in a hopeless situation in a dirty place. No study, no  work, only loneliness. || sadness
It is very difficult to relate it to a certain event. I am  familiar with the disgust of Sartre (la nausTe), a frequently  occurring cause may be described as \the self-assured dullness\"." || disgust
Recently, I left my bag in the car of someone who picked me up  while hitch-hiking. I spent some effort to find out where he  lived (I succeeded). || shame
In Biarritz (the South of France) I met some English students  who, especially for me, went to Paris and gave me food, while I  didn't have any more money. || guilt
When I passed the driving test already on the first try, although  I felt more and more uncertain as the day came near. || joy
When my father suffered with dizziness. He had to be  hospitalized, because the physician didn't know what was wrong.  Because his stools were black, I thought it could be cancer. || fear
When I arranged our holiday in Paris, and my girlfriend raised  criticisms all the time. || anger
When it suddenly appeared that our dog was dangerously ill and  probably would die. We had not expected this because he  was always very healthy. Fortunately he survived because we, in turn,  gave him medicines during the night. || sadness
When a girl in my class (on the secondary school) appeased the  teacher, resulting in getting a higher grade. This occurred often  with her. || disgust
When I arrived too late at a meeting of mentor (the night before  the introduction of novices on the University start). || shame
When my father told me that I should help my mother more often,  because she was so busy. And I realized that he was right. || guilt
Passing an examination, although I felt sure I had failed. || joy
I lived in a student-house, where you shared the lavatory and  shower with a fellow student. the shower cubicle formed the  connection between both appartments. My neighbour very often was  drunk and aggressive. One night, I was afraid that he would enter  my room. || fear
I suffer from a disease of my muscles. Therefore, I am only able  to attend lectures for half a day. So, sometimes I miss  obligatory lectures. However, the teachers do not take into  account my disease, and punish me with detention work, resulting in  an overload. || anger
I suffer form a disease of my muscles. However, I cannot talk  about it and my feelings, the consequence with my parents. They  try to repress it. || sadness
more important than grandfather ?" || disgust
Going out for dinner, or during one ice-cream and four spoons. || shame
I borrowed a piece of music of someone and I always forgot to  give it back. That person wrote me a letter asking me to give it  back. I did so and I told him an idle story why I kept it for so  long. || guilt
When armed robbers broke into our house at night. || fear
When a pick-pocket robbed me of my money (K20) while I  was  buying bathing soap. || anger
When I failed the grade seven examination. || sadness
When my friend who was drunk insulted me in public for no reason at  all. || disgust
When I tried to steal a book from the bookshop and was caught. || shame
When I was caught with another man's wife.  I had taken the  opportuinty as this man was abroad but he returned that night. || guilt
The day I learnt that I had been admitted to the university. || joy
When I had gone for a boxing tournament which ended at 2 o'clock  in the morning.  I was alone on my way back, and I could hear the  barking of the dogs, the nocturnal animals and the sound of my      own footsteps.  There had been a rumour  circulating that there  were ghosts in that area. || fear
In 1983 a sadist provoked my sister in my presence.  He tried  to force my sister into accompanying him to his place, but my  sister did not agree and so she was kicked and she fell down.   There was a fight. || anger
When my father passed away in 1978.  I was left alone with my  mother who was very sick so I had to go and live with my aunt, who  is very short tempered, till my mother was discharged from the  hospital. || sadness
When I learnt that my best friend had failed the exams. || disgust
I broke my friend's badminton racket and she kept quiet about it. || guilt
and it was a happy moment." || joy
I was in form five at the boarding school and my friends and I  had gone drinknig beer in the nearby village.  And we were caught  red handed there by a form master. || fear
When my mother quarrelled with my aunt over me. || anger
My elder brother had been expelled from college and he was so  frustated that he attempted suicide - he drank bottle fragments.   I was very sad when I learnt this. || sadness
I found out accidentaly that while my uncle was away in Canada, my  aunt had been bedding a young man on a regular basis. || disgust
It was during a school holiday - I was found necking a girl in my  room by my father. || shame
I was in grade seven and my class was planning a protest against  a rude and immoral teacher.  I sneaked out and told the  headmaster about it and so the plan was foiled. || guilt
I won the first prize at the science fair, the first of the kind  at school and I was only in form II then.   || joy
A close relative of mine died in a serious car accident.  I was  one of the first two people to see the corpse and I had to do it.   Before going in to see it I was afraid as it was the first time  that I was seeing a corpse. || fear
My younger brother destroyed and gave away some of the books that  I had intended to keep for as long as possible. || anger
When a close relative of mine passed away, it was the first time  that someone so close to me had died. || sadness
A person whom I thought to be honest took and spend the little  money that I had and I had no way of getting any money in the  few following months. || disgust
While watching a religious film, I got very excited and made a  number of comments which were reproached to me by an elderly  person who respected me. || shame
I beat up a female friend after I heard the defamatory stories that  she had been telling.  I was later called to explain my  behaviour. || guilt
My 21st birthday celebration, when I cut the cake and received  the presents. || joy
Before one of my final exams of the third year - natural  sciences. || fear
When some seniors tried to scold and insult some juniors on  account of what the juniors were supposed to have said at  secondary school. || anger
When an uncle of mine, who was close to me, passed away after  having had a stroke, before his first daughter could be named. || sadness
When my sister's boyfriend accused her of having been sleeping around. || disgust
When I could not hold my bladder while making a telephone call  and ended up wetting myself. || shame
When I was made to feel responsible for the emotional state a friend of  mine was in. || guilt
My fiancT left me for my best friend. || sadness
People who discriminate other people disgust me. || disgust
On New Years eve I drank too much alcohol, so much that I had to  vomit in the presence of other people. || shame
I have cut loose from my father a few years ago. I know he is  very sad about this. || guilt
A recurrent lovesickness. || joy
I was sexually assaulted one night by a stranger. || fear
Meddlesomeness of my mother about the way I live. She thinks I am  to free in my behavior for instance when a boyfriend stays the  night. || anger
The dying of a close member of the family. || sadness
Seeing maltreated, dead animals. || disgust
A much older man took advantage of me during my childhood (four  to eight years of age). || shame
When my friend needed my help very much and I, at that moment, made  an end to our relationship. || guilt
When I passed a very important exam. || joy
When a man rang the doorbell and wanted to enter the house with  violence. I was alone at home that moment. || fear
A friend came to visit me late one night. He promised to stay  only a quarter of an hour, but he stayed 5 hours !! He didn't  leave and I was very angry. || anger
I had to terminate a training because I wasn't suited for it. I  was very sad about this, because I very much wanted to finish  that training. || sadness
During my birthday party a friend drank too much alcohol. So much  that he had to throw up. Worst of all was that he couldn't leave  my friend alone and that he was molesting her. || disgust
I tried to swindle a jeweller because my watch was broken and I  wanted to have it repaired it was a pity but they detected it. || shame
Someone had to do a lot of efforts to make something work. With  my help he would have finished much sooner, but I wasn't in the  mood to help him. || guilt
I went to visit friends and it was very companionable. || joy
I wanted to get in contact with a girl I loved, but I was afraid  she would refuse me. || fear
During military service a superior reproached me unjustly. This  led to friction in a lot of situations. || anger
Disappointed love. The girl made an end to our relationship while  I thought she was in love with me. || sadness
During military service I heard the story of someone who tried to  commit suicide and as a result of this got a week custody. || disgust
I thought of myself as being clumsy when I made love for the  first time with a girl. || shame
A friend of mine had a bicycle-accident because I pulled at his  handlebar. || guilt
Sitting alone in a quiet room concentrating on things happening  around me which pleases me. || joy
Sitting alone in a quiet room, concetrating on things happening  around you. Thoughts come into my mind which make me afraid. || fear
When a teacher tells a story which isn't true. It only reflects  his way of interpreting reality. || anger
I have high expectations for my future but if I pursue the  subject in this manner I will not attain this. || sadness
I heard a broadcasting programme about parapsychology. The people  in this programme used very difficult words which I couldn't  understand. They acted exaggerated without showing any feeling. || disgust
A girl asked me why I didn't dance. I told her I was ashamed to  dance. I felt myself ashamed having to tell her this. || shame
I saved up money for a good purpose. As I also have to organise a  party I am afraid there will rest only a little money for the  good purpose I feel guilty about this. || guilt
My sister and brother in law returned from Sri Lanka where they  adopted a child. I went to pick them up at the airport. || joy
During a football game I made an offence towards an acquaintance.  Later on this acquaintance also tackeled me and the game became  very rude. || fear
I work at a petrol station. When there is a foreigner who wants  petrol my collegues treat him very impolite. || anger
An uncle of mine who just retired, having worked hard all his  life, got a cerebral hemorrhage. || sadness
A student who lives in the same house where I live is an alcoholic. He  tries to manipulate other people with his money when he has drunk  too much. || disgust
When I went to a disco with a friend I started behaving badly  embarrassing him without reason. || shame
When I talked to another student about the notes she got last  semester, not knowing that she got a lot of bad grades. || guilt
When I got my drivers licence. || joy
When I stayed alone in a house in Great Brittain and there was a  lot of rumour in the newspaper about a murderer still being free. || fear
The stories about the way my grandmother treated my mother. || anger
When my mother was proved to suffer from a very serious disease. || sadness
The stories about my aunt who was beaten and humiliated by my  uncle. || disgust
I omitted to do a favor to a friend, while he was very much in  need for help. || shame
When I had a little accident with my boss'car. || guilt
Every year during carnival I am very joyful I have an intense  feeling of happiness then. || joy
The only event I can remember is having a nightmare when I was  very young (3 years old) I dreamt about a machine which was going  to crush me. || fear
I am usually angry at myself. This happens often. For instace  when I want to pet without falling in love and it soon proves  that I have fallen in love with him. || anger
Losing a boyfriend for the second time to my friend. He fell in  love with her. The same thing happened a few months earlier with  another boyfriend. || sadness
There is a person whom I disgust. Evrey time I see her I get this  terrible feeling I disgust her whole appearance. || disgust
When I am angry at someone without a good reason. Later on it  proves that he didn't do anything wrong. || shame
My mother always evokes feelings of guilt in me. For instance  when I miss the last bus I know she will be concerned for me and  stay awake till I arrive. || guilt
When I came again in contact with a girl I liked very much. And  most important she also liked me. || joy
DO NOT REMEMBER. || fear
After a hard day at the university I also had to make dinner that  evening. It failed because of a frying pan which broke. || anger
When my father had a cerebral hemorrhage. || sadness
A story I heard recently about a baby dying after sexual  abuse. || disgust
During a party I overheard a conversation about china. When I  wanted to give my opinion one of the people came out to be Chinese  and his opinion was right of course. || shame
When I didn't bring my girlfriend home one night. Later she told  me that a cardriver solicited her. || guilt
When an old schoolfriend phoned me to arrange an appointment to  talk about old memories. I hadn't seen him for 8 years. || joy
Standing in a crowed shop or in a closed room with too much  people in it. This gives me a fearful experience. || fear
My older brother who gives me unwanted advices about problems in  my relationship with my girlfriend. || anger
My girlfriend left the house in which we lived together a few  months ago. This made me very sad. || sadness
little child." || disgust
Making an unexpected talk with a professor in the canteen. This  made me shy. || shame
Flirting with other girls while I already had a very good  relationship. When there are problems in my relationship, the  flirting increases as does the feeling of guilt. || guilt
Occurs frequently. A recent experience: when going out with many  friends, nice music, after the examinations, I felt so happy I  could have embraced everybody. || joy
I lived alone in a repulsive area in the city of Rotterdam. I was  annoyed, heard a lot of Burglary and assaults. Especially in the evening  and the night I frequently felt anxious. || fear
Being treated unfairly and being hurt by someone I love. || anger
solution\")." || sadness
Every time I meet a certain person. We cannot get on well  together, we dislike each other. || disgust
When coming up for trial because of shop lifting. || shame
Being catched when stealing. || guilt
I fell over head and ears in love with someone who appeared to be  in love with me. it made me so happy that I could hardly sleep  and eat for one week. || joy
One night I had to bike home all alone after a party. Then I  found out that I was pursued by a man in a car. || fear
I had a quarrel with my father, because I was of the opinion that  he decided in an authoritarian way which TV program we should  watch. I became very angry and started throwing things through  the room. || anger
My boyfriend finished our relationship when I started studying  psychology in Nijegen, because then we would not be able to meet  frequently anymore. || sadness
A friend had a quarrel with the mother of her boyfriend because  she and her friend decided to go and live together. She needed  money for removal, then she made a great effort to reconcile. || disgust
I was catched when, as a little girl, I played tricks. I was very  startled then and wet my pants. || shame
I was of the opinion that 12.00 pm was too early to be back at  home after going out, so I stayed away longer, knowing that my  mother would be worried. || guilt
I was called and invited to have a talk about a job I wanted to have. || joy
Once late at night (around midnight) a person asked me to give  him a lift. He suddenly tried to attack me but I could escape.  After this he followed me for a little while. || fear
There was a lot of irritation between me and a person who lives  in the same house where I live. Suddenly it became too much for me and I  accused him of several things. || anger
The end of a relationship (after 4 years) by doing this I hurt  the other person very much. || sadness
I saw a terrible accident in which the driver of a motor was  thrown through the frontwindow of a car. His face was completely  away. || disgust
I am troubled by hair growing in my neck. I was troubled by this  for a long time and was much ashamed when someone brought his/her  hands close to my face. || shame
Against the will and without the approval of my parents I went  for a few days to my boyfriend in Germany. || guilt
When a friend of me came for an unexpected visit. || joy
When I thought the house was on fire at night. || fear
When I was at an official meeting I asked a question to a person.  His response was not directed at me but at the chairman. || anger
When the mother of a good friend of mine died. || sadness
A teacher was very blunt in his relation to a child so that the  child was very upset when arriving at home. || disgust
I was very angry at someone. || shame
That I didn't take the time to make an appointment with someone. || guilt
After I saw my family and good friends back after staying one  year in a foreign country.  || joy
When a good friend of mine behaved in a very cool manner to me  for a very long time. || fear
I was in the library of medical psychology and walked into the  wrong direction. A man who came out of a room threated me very  denigrating and I became very angry in a resisting manner. || anger
A good friend of mine died. During the funeral I felt an intense  feeling of sadness. || sadness
When an uncle of mine who is very ill started to cough wich  sounded very dirty. (He can't help it of course). || disgust
At Christmas night there was a good movie on television which I  wanted to see for years. I was whining about it till someone told  me it was very childish. Then I felt shame. || shame
A good friend of mine who is at the moment in a foreign country.  I didn't write her for several months and now I feel guilty. || guilt
When I go out with my friend with enough money and good sense to  our favorite dancing. || joy
When going out I am threatened regularly by two punk-girls. || fear
A friend started to shout at me. He called me an old frump. || anger
My relationship with a boyfriend was finished and I didn't  succeed a years-course. || sadness
My father is someone I disgust. So when he comes close to me  a feeling of disgust overwhelms me. When I stay a week-end at my  parent's place I will remember it for long time. || disgust
After a party in which I made love with a boy in public. Later on  I heard that others were talking about me and called me a slut. || shame
When I got associated with a boy one year ago, I neglected my  best friend. When the relation with this boy finished she behaved  very easy-going towards me. I felt guilty then. || guilt
When I made the winning goal during a very important football  game. || joy
A terrible cloud-burst started when we were camping in a tent on  a great bald field. || fear
Seeing for the first time pictures about the so called  \treatment\" of Jewish people in Nazi-Germany during World War II." || anger
The death of my mother-in-law after a long sick-bed. at the  moment of dying I was with her. || sadness
I was looking at a one-man show on television. He told very  disgusting things so that I started to be disgusted with it.  (Later on it proved that this was his intention). || disgust
I was drinking a glass of wine and eating something when there  suddenly appeared pictures about the famine in some parts of  Africa. || shame
When I don't go to my parents on Sunday and phone them to tell  them that I have to study. The truth is that I listened to sports  on the radio. || guilt
When it appeared that I was not pregnant when I was several weeks  overtime. || joy
The same situation as with sadness. I was afraid about what my  parents would further do to distroy my relationship. || fear
Once again my parents distroyed a relationship. || anger
I had this feeling when my parents distroyed a relationship with  a boy because they thought he was bad and irresponsible. || sadness
After the accident which I described in SHAME. I came to myself  and saw how terrible everything looked like. I disgusted myself  and everything I saw. || disgust
A sudden end to the relationship with my first girlfriend. || sadness
I heard part of a conversation in which one talked very low about  women. || disgust
In an important situation for me, my father behaved inadequately. || shame
When I took the car of someone without saying it to him. || guilt
I felt joy when I heard that I was accepted for the Free  University in Driebergen. || joy
When a good friend of me told me one evening that she didn't want  to live anymore. || fear
I felt anger when at the end of a telephone call, a good friend  told me that she would go to travel next year with another good  friend. We couldn't talk this out. || anger
I was very sad when I had to leave persons with whom I had a very  intense relationship I also had to leave the environment which  was part of this. || sadness
I felt disgust after watching a picture on television about  torturing political prisoners in India (this happened in the  India of Indira Ghandi). || disgust
I made a very insulting remark against a person whom I care for  very much. This event was caused by a third person who didn't  like the person I insulted. || shame
I felt guilt towards my mother when I went to live on rooms in  Nijmegen where I study. || guilt
When my boyfriend and I went out for a dinner and subsequently  went to his family. We had a very nice evening. || joy
When I walk through streets late at night. This is because I and  my friends were attacked one night without any reason for it. || fear
When I got the feeling that I had to do all the housekeeping  while my boyfriend didn't do anything. This happened in a period  of exams when I had to study very hard. || anger
When my best friend got a boyfriend. Because of this a  relationship of ten years was finished abruptely. || sadness
I feel disgust when hearing or seeing other people being treated  inhumanely. For example torturing in chili. || disgust
In my opinion guilt is a feeling which goes together with shame.  Here then I refer to the situation of guilt. || shame
When I became angry at my boyfriend without any reason. I know he  cannot bear me being angry at him and that he can't study anymore  then. || guilt
The day I heard that I passed the high school exam. || joy
I was living in rooms in a very lonely, quiet neigbourhood.  During the night it was very silent and this frightened me. The  fact of being alone in that house frightened me. || fear
We had to move to a very different city because the company where  my father worked also moved to that place. It was very difficult  for me to make new friends than. || anger
A very close friend of mine died. I read it in the newspaper. I  didn't know what to do and thought about it the whole day. || sadness
A girl who also hires a room in the house where I live always  tries to make a quarrel with everyone available she disgusts me. || disgust
A teacher spent a lot of time helping me without wanting to be  paid for it. For the exam I didn't got a good grade and I felt  ashamed. || shame
I knew I had to take an exam very soon but yet I couldn't start  studying. I also knew it was very imprtant to succeed the exam  this time. || guilt
When Christmas holiday started, I felt very joyful when I  finished my last exam. || joy
I was raped once when I went through a dark alley at the back of  our house. The man pushed me in the bushes. I fought back and  succeeded to escape. || fear
I was very angry at my father when he didn't give me as much  money as my brother to use for studying. Once again my brother  was better off then me. || anger
When my gradmother died.  I felt very sad then ... The feeling  started to be worse after a while. || sadness
When I ate a rotten apple. || disgust
When I didn't meet an appointment I had made. The person phoned  me but I thought of something (I told I was ill) so that I didn't  have to go. || shame
When I have to take exams I am very excited and have not much  time for the housekeeping. Then my friend has to do everything. || guilt
My boyfriend was playing with my cat. He was playing games with her  and telling nice things to her.  || joy
When I slept for the first time all alone in the house where I  live now. A man phoned me at 2.00 am. He wanted something from  me. I was afraid. || fear
My boyfriend told me that I had very high demands towards him. In  my opinion this was wrong. || anger
I hadn't been at my parent's place for a long time. When I went to  visit them I had high expectations, but when I was there it was  very different from what I expected. || sadness
I read a story in the newspaper about butchers treating their  animals very badly. They disgusted me. || disgust
I was eating in a very nice restaurant, when the servant asked  whether I liked the food I told him that I liked it but that  there was one thing which wasn't so good. The servant than worked  very hard to make it good. || shame
A few weeks ago I thought about an exam I had to take soon. I  remembered this just before I had to go to sleep. I felt guilt  because at the beginning of the year I planned to succeed. || guilt
During my high school time I succeeded to play a concert of  Mozart on the piano when I gave my first performance I succeeded  to play it very well. || joy
When a car ran into me. The moment that I felt on the street I  thought \This is my end, I am going to die\"." || fear
When our cat was killed in a car-accident I was very angry at the  driver of the car because he didn't take enough care. || anger
There is a boy who I love very much. I asked him to have dinner  with me, but he refused I don't know why he didn't go with me,  but I felt very lonely. || sadness
I saw a dog who was eating excrements. || disgust
During my Highschool time I was chairman of the student's  comitee. In this function I once had to make a speech to a large  audience and I was very nervous. After three sentences I forgot  my text. || shame
During a holiday in East-Germany I got aquainted with a boy who  lived there. We started writing, but I only wrote once. I felt  ashamed because I probably was one of his sparse contacts with  western Europe. || guilt
When I saw a good friend again after not having seen her for a  long time. || joy
When I slipped on a glazed frost road and a car almost ran into  me. || fear
When people without my permission pry in my belongings and take  things out of it. || anger
When I noticed that my parents were not in such a prosperity as  most people in my surroundings. || sadness
Seeing a pornographic movie in which animals were used. || disgust
When I went for the first time in my life to a nudist-beach. || shame
I was caught sneaking sweets. || guilt
When I went to visit a friend in the hospital. She had to undergo  an operation for rupture. I was glad to hear that the operation  succeeded and that she was relieved of her pain. || joy
I had an appointment with a good friend. He came 3 hours later  than we agreed upon. During the last hour of waiting I was afraid  something might had happened, because usally he is in time. || fear
I worked together with another student on a computer-assignment.  She didn't do her best and didn't prepare herself for it. She  expected me to explain it to her. || anger
I had a quarrel with a good friend about the fact that I didn't  pay her a visit when she expected me to come. Hereafter I was  very sad because it became a real quarrel. || sadness
I was hitch-hiking when a man stopped and gave me a lift to  Nijmegen. During the ride he asked me whether I was in for fun.  The man was fat and tatooed. || disgust
I forgot something I agreed upon with a good friend. || shame
I became very angry with my friend because he didn't do shopping,  while we agreed on him doing this. My being angry was proved to be  without reason and I felt guilty about it. || guilt
When I got the positive result of my examination to achieve the  Bachelor Degree in Plychology. || joy
When I was 12 years old I frequently was pursued by others and  got sound thrashes. || fear
My girlfriend one day went out and promised to be back at 6.00 pm  however she first arrived at 10.00 pm, without a message (we had  to go out that evening). || anger
When my girlfriend decided to finish our relation. || sadness
When once again I drank too much and felt very rotten the morning  after. || disgust
When I overslept for the second time on the day I had an  examination. || shame
When having a relationship, I made love with another girl. || guilt
When the girl with whom I am in love smiles at me. || joy
When biking and I felt very bad (problems with heart and  respiration). || fear
When a discussion resulted in an insult, which in my opinion, was  not justified. || anger
When I realized that it did not make much sense to start a  relationship with a girl who was not very constructive to  establish a firm relationship. || sadness
When I had to finish those big amounts of homework in time. || disgust
When I gave water to the plants of a friend. Then one plant fell  over, and a little statue broke. I, of course, had to tell him  everything. || shame
When I had broken a piece of glass of the refrigerator by putting  a hot pan in it. || guilt
On my birthday when several good friends came to visit me. || joy
I went to the apartment of my boyfriend and saw some people  before his door. I thought that something had happened. || fear
My father called me (behind my mother's back) and told me that my  mother disapproved my behavior in the weekend. However, he didn't  tell me the details and left me with unanswered questions. || anger
I felt very lonely, was very dissatisfied with myself when I  realised that I could feel very jealous of other women because  of my boyfriend. || sadness
A scene in a film in which one man repressed another one. By  concidence, their position was reversed. The other man was  repressed in an identical way as he did before. || disgust
When I do not succeed in making myself clear to other people.  When they do not understand what I say. || shame
After the death of a girl who I disliked. || guilt
I felt joyful when my boyfriend met me at the station, while at  first he had said that he would not do that. || joy
me." || fear
When someone does not listen to me after having asked me to  repeat what I said. This happened more than one time with the  same person. || anger
I felt very sad when I heard that a friend had committed suicide. || sadness
One night I saw a man being knocked down by two other men. The  victim was kicked against his head. || disgust
When I made acquaintance with the parents of my boyfriend for the  first time. They spoke Limburgian (a dutch dialect) and one of my  first remarks was that I disliked Limburgian dialect. || shame
When I cancelled an appointment with an idle story. Afterwards  it appeared that the person had looked forward to it and reserved  time for it. || guilt
For a few days I felt very miserable, distressed and listless,  with crying fits. When this was over I felt very happy, although  there was no special reason. || joy
I was testing my new roller skates in the street, suddenly a dog  ran barking in my direction, very threatening. I was very  startled and terribly upset. || fear
Out on a weekend with a group of people, everybody felt irritated  because at night the music didn't stop in time. And at breakfast  my boyfriend ran away because we didn't agree with him. I felt  angry. || anger
Recently I felt very sad without any reason. It lasted for a few  days. There was nothing I liked in that period. || sadness
Someone told me a story of Amnesty International: a boy was  killed and his head was put in the litter of his girlfriend. It  looked as if she was pregnant, then she died. It is disgusting, I  can hardly write it down. || disgust
I cried for 3 hours because I felt very miserable. Then I called  my boyfriend and he said lovely things to me. After this feeling  disappeared I felt ashamed. || shame
Yesterday my boyfriend and I wanted to play billiards. However  there were boys playing (5 times). My boyfriend then is fed up  and chagrined. In such case I think it is my fault. || guilt
When my boyfriend and I experience something nice or when we have  made a nice walk together. || joy
The weather is very bad (fog and slipperiness) the newcast  reports many traffic accidents and my boyfriend is driving home  and still has 60 kilometers to go. || fear
